Name,UID,Age,Position,Club,Nat,Height,Wage,Transfer Value,Expires,Acc,Pac,Sta,Str,Jum,Bal,Agi,Fin,Fir,Pas,Tec,Dri,Cro,Hea,Tck,Mar,Ant,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Bra,Agg,Ref,Han,Cmd,1v1,Kic,Thr,Com
Emiliano Martinez,32101,33,GK,Aston Villa,ARG,195 cm,£120K p/w,£15M,30/6/2027,11,11,13,14,15,12,13,3,10,11,12,7,5,8,6,5,15,16,15,15,17,10,15,4,14,13,9,14,16,12,17,16,16,15,14,12
Matty Cash,44210,28,"D (R), WB (R)",Aston Villa,POL,185 cm,£65K p/w,£22M,30/6/2027,15,15,16,14,12,13,14,10,12,13,12,13,14,11,14,13,13,12,13,12,15,11,9,13,13,13,11,16,13,12,2,3,2,2,3,3
Ezri Konsa,51882,28,"D (RC)",Aston Villa,ENG,183 cm,£75K p/w,£38M,30/6/2028,15,15,15,15,15,13,14,6,11,12,12,10,8,14,16,16,15,14,15,14,15,8,10,7,16,12,9,14,15,11,3,2,3,2,2,3
Boubacar Kamara,60117,26,"DM, M (C)",Aston Villa,FRA,184 cm,£110K p/w,£45M,30/6/2028,12,12,15,14,12,14,14,9,15,16,15,13,11,11,16,15,16,15,16,16,15,12,11,11,16,15,15,13,13,11,3,2,2,3,2,2
Youri Tielemans,60118,29,"M (C), AM (C)",Aston Villa,BEL,176 cm,£120K p/w,£30M,30/6/2027,11,11,14,12,10,14,13,14,16,17,16,14,13,9,11,10,14,15,14,17,14,15,12,14,13,15,17,12,11,9,2,3,2,3,2,3
Morgan Rogers,71400,24,"AM (LC), ST (C)",Aston Villa,ENG,187 cm,£45K p/w,£40M,30/6/2029,15,15,15,15,13,14,15,14,15,14,15,16,13,12,9,7,14,13,12,13,16,15,8,15,9,13,14,15,12,10,2,2,3,3,2,2
Ollie Watkins,52003,30,ST (C),Aston Villa,ENG,180 cm,£100K p/w,£40M,30/6/2028,16,17,16,14,14,14,15,16,14,12,13,14,11,13,7,5,15,14,13,13,17,12,10,16,8,12,12,16,13,9,3,2,2,2,3,2
Jacob Ramsey,66201,25,"M (LC), AM (LC)",Aston Villa,ENG,180 cm,£40K p/w,£25M,30/6/2027,15,14,15,12,11,14,15,12,14,13,14,15,12,9,10,9,13,12,12,13,15,13,8,14,10,12,13,15,12,10,2,3,2,2,3,2
Kellan Ashworth,90001,18,"AM (C)",Aston Villa,ENG,178 cm,£2K p/w,Not for Sale,30/6/2028,13-16,12-15,10-14,8-12,9-13,12-16,13-16,10-15,12-16,11-15,12-16,12-16,9-14,7-11,6-11,5-10,10-15,9-14,10-14,11-15,13-17,11-16,5-10,11-16,7-12,10-14,11-16,10-15,9-14,6-11,2,2,3,2,2,3
Rico Lewis,80442,22,"D (R), WB (R), DM",Manchester City,ENG,169 cm,£90K p/w,£50M,30/6/2028,15,14,16,11,9,15,16,9,15,15,15,14,13,7,14,13,15,14,15,15,15,12,9,13,14,15,14,15,11,10,3,2,2,2,3,2
